product_name,category,sku,pack_size,unit,default_supplier_name,min_stock,selling_price,target_section,is_active
Lay'S Chips Green,Snooker,,,pcs,Legacy Sheet Supplier,0,48,gaming,true
Lay'S Chips Yellow,Snooker,,,pcs,Legacy Sheet Supplier,0,48,gaming,true
Lay'S Chips Blue,Snooker,,,pcs,Legacy Sheet Supplier,0,48,gaming,true
Bingo Salt Chips,Snooker,,,pcs,Legacy Sheet Supplier,0,50,gaming,true
Bingo Chili Chips,Snooker,,,pcs,Legacy Sheet Supplier,0,50,gaming,true
Bingo Mad angels Chips,Snooker,,,pcs,Legacy Sheet Supplier,0,50,gaming,true
Kur Kure,Snooker,,,pcs,Legacy Sheet Supplier,0,30,gaming,true
To Yummy Chips,Snooker,,,pcs,Legacy Sheet Supplier,0,50,gaming,true
Penut Chikki Prufe,Snooker,,,pcs,Legacy Sheet Supplier,0,40,gaming,true
Cavin's Kaju Butterscotch Milkshake,Snooker,,,pcs,Legacy Sheet Supplier,0,40,gaming,true
Heritage Badam Milk,Snooker,,,pcs,Legacy Sheet Supplier,0,30,gaming,true
Heritage Pista Milk,Snooker,,,pcs,Legacy Sheet Supplier,0,30,gaming,true
Bounty Chocolate,Snooker,,,pcs,Legacy Sheet Supplier,0,100,gaming,true
Snickers Butterscotch Flavour Chocolate Bar,Snooker,,,pcs,Legacy Sheet Supplier,0,70,gaming,true
Snickers Chocolate Bar,Snooker,,,pcs,Legacy Sheet Supplier,0,45,gaming,true
Snickers Chocolate penut Bar,Snooker,,,pcs,Legacy Sheet Supplier,0,50,gaming,true
Snickers Chocolate Strawberry,Snooker,,,pcs,Legacy Sheet Supplier,0,70,gaming,true
Crispello Dairy Milk Chocolate,Snooker,,,pcs,Legacy Sheet Supplier,0,40,gaming,true
Kit Kat Chocolate,Snooker,,,pcs,Legacy Sheet Supplier,0,20,gaming,true
Red Bull,Snooker,,,pcs,Legacy Sheet Supplier,0,125,gaming,true
Predator Energy Drink,Snooker,,,pcs,Legacy Sheet Supplier,0,60,gaming,true
Monster Energy Drink,Snooker,,,pcs,Legacy Sheet Supplier,0,125,gaming,true
Sprite Drink,Snooker,,,pcs,Legacy Sheet Supplier,0,40,gaming,true
Thums Up Drink,Snooker,,,pcs,Legacy Sheet Supplier,0,40,gaming,true
Budweiser Normal,Snooker,,,pcs,Legacy Sheet Supplier,0,115,gaming,true
Budweiser Apple,Snooker,,,pcs,Legacy Sheet Supplier,0,115,gaming,true
Water Bottel,Snooker,,,pcs,Legacy Sheet Supplier,0,25,gaming,true
Lotte Choco Pie,Snooker,,,pcs,Legacy Sheet Supplier,0,10,gaming,true
Gold Flake Indie Mint,Snooker,,,pcs,Legacy Sheet Supplier,0,115,gaming,true
Gold Flake King's,Snooker,,,pcs,Legacy Sheet Supplier,0,240,gaming,true
Gold Flake King Lights,Snooker,,,pcs,Legacy Sheet Supplier,0,170,gaming,true
Shift Millennium Edition,Snooker,,,pcs,Legacy Sheet Supplier,0,380,gaming,true
Gold Flake Mixpod,Snooker,,,pcs,Legacy Sheet Supplier,0,240,gaming,true
Classic Ice Burst,Snooker,,,pcs,Legacy Sheet Supplier,0,480,gaming,true
Marlboro,Snooker,,,pcs,Legacy Sheet Supplier,0,480,gaming,true
American Club L.I.T,Snooker,,,pcs,Legacy Sheet Supplier,0,200,gaming,true
Haldiram's Moong Dal,Snooker,,,pcs,Legacy Sheet Supplier,0,57,gaming,true
Haldiram's All in One,Snooker,,,pcs,Legacy Sheet Supplier,0,57,gaming,true
A-1 Chips Tapical Chips,Snooker,,,pcs,Legacy Sheet Supplier,0,70,gaming,true
A-1 Chips Sesame Crispy,Snooker,,,pcs,Legacy Sheet Supplier,0,80,gaming,true
To Yummy Chips ( Spicy Chili),Snooker,,,pcs,Legacy Sheet Supplier,0,45,gaming,true
Cavin's Chocolate Milkshake,Snooker,,,pcs,Legacy Sheet Supplier,0,40,gaming,true
Dairy Milk Chocolate,Snooker,,,pcs,Legacy Sheet Supplier,0,10,gaming,true
Smoodh -Chocolate,Snooker,,,pcs,Legacy Sheet Supplier,0,20,gaming,true
Smoodh -Toffe Caramel,Snooker,,,pcs,Legacy Sheet Supplier,0,20,gaming,true
Smoodh -Chocolate Hozel Nut,Snooker,,,pcs,Legacy Sheet Supplier,0,20,gaming,true
Coca-Cola Zero Sugar,Snooker,,,pcs,Legacy Sheet Supplier,0,40,gaming,true
Dairy Milk Chocolate (20.2 g),Snooker,,,pcs,Legacy Sheet Supplier,0,20,gaming,true
Elite Banana Pudding Cake,Snooker,,,pcs,Legacy Sheet Supplier,0,60,gaming,true
Elite Dates Pudding Cake,Snooker,,,pcs,Legacy Sheet Supplier,0,60,gaming,true
Uncle Chips,Snooker,,,pcs,Legacy Sheet Supplier,0,48,gaming,true
Town Bus ( Butter Murukku),Snooker,,,pcs,Legacy Sheet Supplier,0,60,gaming,true
Town Bus ( Madras Mixture ),Snooker,,,pcs,Legacy Sheet Supplier,0,60,gaming,true
