supplier_name,purchase_date,purchase_note,line_type,item_name,quantity,quantity_unit,unit_price,expiry_date,line_note
Legacy Sheet Supplier,2026-04-01,Legacy workbook import - additional opening stock,ingredient,Burger Box,238,pcs,0,,Imported from Dip&dash opening stock column
Legacy Sheet Supplier,2026-04-01,Legacy workbook import - additional opening stock,ingredient,Dip Cup (Mayones / Tomato Sauce ),85,pcs,0,,Imported from Dip&dash opening stock column
Legacy Sheet Supplier,2026-04-01,Legacy workbook import - additional opening stock,ingredient,French Fry Box,149,pcs,0,,Imported from Dip&dash opening stock column
Legacy Sheet Supplier,2026-04-01,Legacy workbook import - additional opening stock,ingredient,Loaded Fries Box,255,pcs,0,,Imported from Dip&dash opening stock column
Legacy Sheet Supplier,2026-04-01,Legacy workbook import - additional opening stock,ingredient,Milkshake Bottom Cup,80,pcs,0,,Imported from Dip&dash opening stock column
Legacy Sheet Supplier,2026-04-01,Legacy workbook import - additional opening stock,ingredient,Milkshake Top Cap's,80,pcs,0,,Imported from Dip&dash opening stock column
Legacy Sheet Supplier,2026-04-01,Legacy workbook import - additional opening stock,ingredient,Mojtos Bottom Cup,115,pcs,0,,Imported from Dip&dash opening stock column
Legacy Sheet Supplier,2026-04-01,Legacy workbook import - additional opening stock,ingredient,Mojtos Top Cap's,72,pcs,0,,Imported from Dip&dash opening stock column
Legacy Sheet Supplier,2026-04-01,Legacy workbook import - additional opening stock,ingredient,Sandwich Box,91,pcs,0,,Imported from Dip&dash opening stock column
Legacy Sheet Supplier,2026-04-01,Legacy workbook import - snooker opening stock,product,A-1 Chips Sesame Crispy,2,pcs,80,,Imported from snooker opening stock column
Legacy Sheet Supplier,2026-04-01,Legacy workbook import - snooker opening stock,product,A-1 Chips Tapical Chips,2,pcs,70,,Imported from snooker opening stock column
Legacy Sheet Supplier,2026-04-01,Legacy workbook import - snooker opening stock,product,American Club L.I.T,4,pcs,200,,Imported from snooker opening stock column
Legacy Sheet Supplier,2026-04-01,Legacy workbook import - snooker opening stock,product,Bingo Chili Chips,7,pcs,50,,Imported from snooker opening stock column
Legacy Sheet Supplier,2026-04-01,Legacy workbook import - snooker opening stock,product,Bingo Mad angels Chips,5,pcs,32,,Imported from snooker opening stock column
Legacy Sheet Supplier,2026-04-01,Legacy workbook import - snooker opening stock,product,Bingo Salt Chips,10,pcs,50,,Imported from snooker opening stock column
Legacy Sheet Supplier,2026-04-01,Legacy workbook import - snooker opening stock,product,Bounty Chocolate,10,pcs,100,,Imported from snooker opening stock column
Legacy Sheet Supplier,2026-04-01,Legacy workbook import - snooker opening stock,product,Budweiser Apple,8,pcs,115,,Imported from snooker opening stock column
Legacy Sheet Supplier,2026-04-01,Legacy workbook import - snooker opening stock,product,Budweiser Normal,6,pcs,115,,Imported from snooker opening stock column
Legacy Sheet Supplier,2026-04-01,Legacy workbook import - snooker opening stock,product,Cavin's Kaju Butterscotch Milkshake,5,pcs,35,,Imported from snooker opening stock column
Legacy Sheet Supplier,2026-04-01,Legacy workbook import - snooker opening stock,product,Classic Ice Burst,4,pcs,480,,Imported from snooker opening stock column
Legacy Sheet Supplier,2026-04-01,Legacy workbook import - snooker opening stock,product,Crispello Dairy Milk Chocolate,14,pcs,40,,Imported from snooker opening stock column
Legacy Sheet Supplier,2026-04-01,Legacy workbook import - snooker opening stock,product,Gold Flake Indie Mint,10,pcs,115,,Imported from snooker opening stock column
Legacy Sheet Supplier,2026-04-01,Legacy workbook import - snooker opening stock,product,Gold Flake King Lights,4,pcs,170,,Imported from snooker opening stock column
Legacy Sheet Supplier,2026-04-01,Legacy workbook import - snooker opening stock,product,Gold Flake King's,4,pcs,240,,Imported from snooker opening stock column
Legacy Sheet Supplier,2026-04-01,Legacy workbook import - snooker opening stock,product,Gold Flake Mixpod,4,pcs,240,,Imported from snooker opening stock column
Legacy Sheet Supplier,2026-04-01,Legacy workbook import - snooker opening stock,product,Haldiram's All in One,2,pcs,57,,Imported from snooker opening stock column
Legacy Sheet Supplier,2026-04-01,Legacy workbook import - snooker opening stock,product,Haldiram's Moong Dal,4,pcs,57,,Imported from snooker opening stock column
Legacy Sheet Supplier,2026-04-01,Legacy workbook import - snooker opening stock,product,Heritage Badam Milk,4,pcs,20,,Imported from snooker opening stock column
Legacy Sheet Supplier,2026-04-01,Legacy workbook import - snooker opening stock,product,Heritage Pista Milk,4,pcs,20,,Imported from snooker opening stock column
