category_name,category_description,category_kind,ingredient_name,unit,min_stock
Beverage,Imported from incredients.xlsx recipe workbook,core,7UP,ml,0
Beverage,Imported from incredients.xlsx recipe workbook,core,Biscoff Spread,g,0
Beverage,Imported from incredients.xlsx recipe workbook,core,Blue Curacuo Syrup,ml,0
Beverage,Imported from incredients.xlsx recipe workbook,core,Chocolate Sauce,ml,0
Beverage,Imported from incredients.xlsx recipe workbook,core,Condenced Milk,ml,0
Beverage,Imported from incredients.xlsx recipe workbook,core,Ice Cubes,count,0
Beverage,Imported from incredients.xlsx recipe workbook,core,Ice Tea Syrup,ml,0
Beverage,Imported from incredients.xlsx recipe workbook,core,Instant Coffee,g,0
Beverage,Imported from incredients.xlsx recipe workbook,core,Lemon,count,0
Beverage,Imported from incredients.xlsx recipe workbook,core,Mango Crush,ml,0
Beverage,Imported from incredients.xlsx recipe workbook,core,Milo,g,0
Beverage,Imported from incredients.xlsx recipe workbook,core,Mint Leaves,count,0
Beverage,Imported from incredients.xlsx recipe workbook,core,Mint Syrup,ml,0
Beverage,Imported from incredients.xlsx recipe workbook,core,Sugar,g,0
Beverage,Imported from incredients.xlsx recipe workbook,core,Uht Milk,ml,0
Beverage,Imported from incredients.xlsx recipe workbook,core,Vanilla Ice Cream,g,0
Burgers,Imported from incredients.xlsx recipe workbook,core,Banglore Tomato,g,0
Burgers,Imported from incredients.xlsx recipe workbook,core,Brioche Buns,count,0
Burgers,Imported from incredients.xlsx recipe workbook,core,Caramilesed Onion,g,0
Burgers,Imported from incredients.xlsx recipe workbook,core,Cheese Slice,count,0
Burgers,Imported from incredients.xlsx recipe workbook,core,Chicken Thigh Fillet,count,0
Burgers,Imported from incredients.xlsx recipe workbook,core,Coleslaw,g,0
Burgers,Imported from incredients.xlsx recipe workbook,core,Curly Lettuce,g,0
Burgers,Imported from incredients.xlsx recipe workbook,core,Egg,count,0
Burgers,Imported from incredients.xlsx recipe workbook,core,Kanthari Sauce,ml,0
Burgers,Imported from incredients.xlsx recipe workbook,core,Nashville Oil,g,0
Burgers,Imported from incredients.xlsx recipe workbook,core,Oyester Mushroom,count,0
Fried Chicken Wings,Imported from incredients.xlsx recipe workbook,core,Bufflow Sauce,g,0
Fried Chicken Wings,Imported from incredients.xlsx recipe workbook,core,Chicken Wings,count,0
Fried Chicken Wings,Imported from incredients.xlsx recipe workbook,core,Chilli Sauce,ml,0
Fried Chicken Wings,Imported from incredients.xlsx recipe workbook,core,Korean Sauce,g,0
Fried Chicken Wings,Imported from incredients.xlsx recipe workbook,core,Nashville Sauce,g,0
Loaded Fires / Nachos,Imported from incredients.xlsx recipe workbook,core,Butter,g,0
Loaded Fires / Nachos,Imported from incredients.xlsx recipe workbook,core,Cheese Sauce,g,0
Loaded Fires / Nachos,Imported from incredients.xlsx recipe workbook,core,Chopped Parsly,g,0
Loaded Fires / Nachos,Imported from incredients.xlsx recipe workbook,core,Fries / Nachos,g,0
Loaded Fires / Nachos,Imported from incredients.xlsx recipe workbook,core,Minced Beef,g,0
Loaded Fires / Nachos,Imported from incredients.xlsx recipe workbook,core,Sliced Jerkings,count,0
Starters,Imported from incredients.xlsx recipe workbook,core,9MM Fries,g,0
Starters,Imported from incredients.xlsx recipe workbook,core,Boneless Chicken,g,0
Starters,Imported from incredients.xlsx recipe workbook,core,Breading Flour,g,0
Starters,Imported from incredients.xlsx recipe workbook,core,Dip Sauce,g,0
Starters,Imported from incredients.xlsx recipe workbook,core,Ketchup Sachet,count,0
Starters,Imported from incredients.xlsx recipe workbook,core,Marinade,g,0
Starters,Imported from incredients.xlsx recipe workbook,core,Mayonnaice,g,0
Starters,Imported from incredients.xlsx recipe workbook,core,Mexican Salsa,g,0
Starters,Imported from incredients.xlsx recipe workbook,core,Nachos Chips,g,0
Starters,Imported from incredients.xlsx recipe workbook,core,Oil,ml,0
Starters,Imported from incredients.xlsx recipe workbook,core,Oyster Mushroom,g,0
Starters,Imported from incredients.xlsx recipe workbook,core,Peri Peri Sprinkler,g,0
Starters,Imported from incredients.xlsx recipe workbook,core,Salt And Pepper,g,0
Starters,Imported from incredients.xlsx recipe workbook,core,Sour Cream,g,0
