category_name,category_description,item_name,selling_price,gst_percentage,note,ingredient_name,ingredient_quantity,ingredient_unit
Starters,Imported from menus.xlsx menu workbook,French Fries,105,0,Classic salted soft and crispy,9MM Fries,200,g
Starters,Imported from menus.xlsx menu workbook,French Fries,105,0,Classic salted soft and crispy,Ketchup Sachet,2,count
Starters,Imported from menus.xlsx menu workbook,French Fries,105,0,Classic salted soft and crispy,Salt And Pepper,1,g
Starters,Imported from menus.xlsx menu workbook,French Fries,105,0,Classic salted soft and crispy,Oil,40,ml
Starters,Imported from menus.xlsx menu workbook,Peri Peri Fires,105,0,Spiced with peri peri seasoning,9MM Fries,200,g
Starters,Imported from menus.xlsx menu workbook,Peri Peri Fires,105,0,Spiced with peri peri seasoning,Ketchup Sachet,2,count
Starters,Imported from menus.xlsx menu workbook,Peri Peri Fires,105,0,Spiced with peri peri seasoning,Salt And Pepper,1,g
Starters,Imported from menus.xlsx menu workbook,Peri Peri Fires,105,0,Spiced with peri peri seasoning,Oil,40,ml
Starters,Imported from menus.xlsx menu workbook,Peri Peri Fires,105,0,Spiced with peri peri seasoning,Peri Peri Sprinkler,5,g
Starters,Imported from menus.xlsx menu workbook,Crispy Fried Oyster Mushroom,195,0,vegan fried chicken with crispy and juicy,Oyster Mushroom,150,g
Starters,Imported from menus.xlsx menu workbook,Crispy Fried Oyster Mushroom,195,0,vegan fried chicken with crispy and juicy,Marinade,20,g
Starters,Imported from menus.xlsx menu workbook,Crispy Fried Oyster Mushroom,195,0,vegan fried chicken with crispy and juicy,Breading Flour,50,g
Starters,Imported from menus.xlsx menu workbook,Crispy Fried Oyster Mushroom,195,0,vegan fried chicken with crispy and juicy,Oil,20,ml
Starters,Imported from menus.xlsx menu workbook,Crispy Fried Oyster Mushroom,195,0,vegan fried chicken with crispy and juicy,Peri Peri Sprinkler,5,g
Starters,Imported from menus.xlsx menu workbook,Crispy Fried Oyster Mushroom,195,0,vegan fried chicken with crispy and juicy,Dip Sauce,20,g
Starters,Imported from menus.xlsx menu workbook,Chicken Popcorn,195,0,Single bite with golden crispy outside and juicy meat inside,Boneless Chicken,170,g
Starters,Imported from menus.xlsx menu workbook,Chicken Popcorn,195,0,Single bite with golden crispy outside and juicy meat inside,Mayonnaice,30,g
Starters,Imported from menus.xlsx menu workbook,Chicken Popcorn,195,0,Single bite with golden crispy outside and juicy meat inside,Marinade,15,g
Starters,Imported from menus.xlsx menu workbook,Chicken Popcorn,195,0,Single bite with golden crispy outside and juicy meat inside,Oil,50,ml
Starters,Imported from menus.xlsx menu workbook,Chicken Popcorn,195,0,Single bite with golden crispy outside and juicy meat inside,Breading Flour,100,g
Starters,Imported from menus.xlsx menu workbook,Mexican Chicken Popcorn,225,0,Pops loaded with the flavours of Mexican Salsa,Boneless Chicken,170,g
Starters,Imported from menus.xlsx menu workbook,Mexican Chicken Popcorn,225,0,Pops loaded with the flavours of Mexican Salsa,Mayonnaice,30,g
Starters,Imported from menus.xlsx menu workbook,Mexican Chicken Popcorn,225,0,Pops loaded with the flavours of Mexican Salsa,Marinade,15,g
Starters,Imported from menus.xlsx menu workbook,Mexican Chicken Popcorn,225,0,Pops loaded with the flavours of Mexican Salsa,Oil,50,ml
